SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
1054,Washington,EB,Wacker,Michigan,0.64,W,,-87.63702646,41.88314431,-87.62442391,41.88319861,17,40:25.0
1245,Halsted,SB,55th,59th,0.5,S,,-87.64535,41.794301,-87.64516,41.787025,-1,40:28.0
88,Pulaski,SB,Armitage,North Ave,0.5,N,,-87.72681006,41.91716907,-87.72658175,41.9098896,-1,40:06.0
468,95th,WB,Michigan,Wentworth,0.41,E,,-87.62053122,41.72191062,-87.62863593,41.7218472,23,40:18.0
335,Western,NB,79th,Columbus Ave,0.63,S,,-87.68266393,41.75010178,-87.68291923,41.75923108,20,40:08.0
354,Western,NB,Chicago,Division,0.5,N,,-87.68665896,41.89574221,-87.6868431,41.90301509,20,40:08.0
282,Irving Park,EB,Oak Park,Narragansett,0.5,W,,-87.79627351,41.95260569,-87.78656068,41.9527793,22,40:15.0
387,Western,SB,31st,Archer,0.91,S,Western Blvd Run Parallel on the East Side,-87.68540628,41.83907505,-87.68508598,41.82593896,25,40:09.0
1263,Halsted,SB,Fullerton,Armitage,0.5,N,,-87.64895,41.925454,-87.648698,41.91818,19,40:28.0
719,Dr Martin L King Jr,SB,24th,26th,0.26,S,,-87.61850056,41.84934098,-87.61765909,41.84569971,20,40:17.0
367,Western,NB,Bryn Mawr,Peterson,0.5,N,,-87.68926444,41.98316666,-87.68948864,41.99049897,29,40:08.0
878,LaSalle,SB,Grand,Wacker,0.32,N,,-87.63274158,41.89160182,-87.63266951,41.88693487,18,40:24.0
491,Monterey,SE,111th,Vincennes,0.48,S,Part of 111th,-87.67048462,41.691791,-87.663346,41.692013,-1,40:19.0
553,Cermak,WB,Damen,Western,0.5,W,,-87.67585914,41.85229983,-87.68564473,41.85220715,22,40:12.0
845,Harlem,SB,Peterson,Bryn Mawr,0.5,N,,-87.80706388,41.98997995,-87.80712318,41.98277846,25,40:23.0
267,87th,WB,Kedzie,Central Park,0.5,W,IDOT Signals Possible,-87.70209518,41.73535778,-87.71199269,41.73515865,-1,40:14.0
482,111th,EB,Michigan,Cottage Grove,0.57,E,,-87.62103937,41.6924819,-87.60985706,41.69262648,26,40:18.0
1057,Randolph,WB,Michigan,Wacker,0.65,E,,-87.62445019,41.88460865,-87.63706854,41.8845987,-1,40:25.0
1293,State,SB,Congress,Roosevelt,0.56,S,,-87.627718,41.875639,-87.627518,41.867413,23,40:29.0
231,Roosevelt,WB,Cicero,Laramie,0.5,W,IDOT Signals Possible,-87.74476139,41.86608785,-87.75455756,41.86585056,-1,40:11.0
